BEAT_KEY,AVG_CALLS,HIGH_RISK_RATIO,WEIGHTED_DEMAND,UNITS,SHIFT
0,1.0,0.5,1.25,0,Night
111,3.1405228758169934,0.6774193548387096,4.204248366013071,1,Night
112,1.7841409691629957,0.8049382716049382,2.5022026431718065,0,Night
113,1.8289473684210527,0.6858513189448441,2.456140350877193,0,Night
114,2.50381679389313,0.7057926829268293,3.387404580152672,1,Night
115,5.161094224924012,0.5942285041224971,6.694528875379938,1,Night
116,2.612794612794613,0.720360824742268,3.553872053872054,1,Night
121,2.6343283582089554,0.6685552407932012,3.514925373134328,1,Night
122,12.11572700296736,0.6997305902522655,16.35459940652819,2,Night
123,3.6537216828478964,0.38441098317094774,4.355987055016181,1,Night
124,4.919642857142857,0.6636418632788869,6.552083333333332,1,Night
126,1.4026845637583893,0.5454545454545454,1.7852348993288591,0,Night
231,1.4736842105263157,0.6607142857142857,1.9605263157894735,0,Night
232,1.8743961352657006,0.6288659793814433,2.4637681159420293,0,Night
233,3.215625,0.5053449951409135,4.028125,1,Night
234,2.7006802721088436,0.7015113350125944,3.6479591836734695,1,Night
235,1.1818181818181819,0.9615384615384616,1.7500000000000002,0,Night
241,2.0150943396226415,0.6048689138576779,2.6245283018867926,0,Night
242,5.3993993993994,0.6840934371523916,7.246246246246247,1,Night
243,2.4151624548736463,0.5351270553064275,3.061371841155235,0,Night
245,1.2307692307692308,0.671875,1.6442307692307694,0,Night
246,1.36,0.7411764705882353,1.864,0,Night
311,5.18562874251497,0.45381062355658197,6.362275449101797,1,Night
312,2.387218045112782,0.6188976377952756,3.1259398496240602,0,Night
313,8.720238095238095,0.5027303754266211,10.91220238095238,1,Night
314,1.9705882352941178,0.7292110874200426,2.689075630252101,0,Night
315,4.99079754601227,0.743700061462815,6.846625766871165,1,Night
316,1.1290322580645162,0.7428571428571429,1.5483870967741937,0,Night
321,3.8719512195121952,0.7866141732283465,5.394817073170732,1,Night
322,1.6269430051813472,0.7611464968152867,2.2461139896373057,0,Night
323,1.3525179856115108,0.8191489361702128,1.9064748201438848,0,Night
324,1.7439613526570048,0.7728531855955678,2.417874396135266,0,Night
325,1.4589041095890412,0.7652582159624414,2.0171232876712333,0,Night
326,2.268292682926829,0.6756272401433692,3.034552845528455,0,Night
327,2.6544117647058822,0.6814404432132964,3.558823529411765,1,Night
431,1.411764705882353,0.6791666666666667,1.8911764705882355,0,Night
432,1.9260869565217391,0.6930022573363431,2.5934782608695652,0,Night
433,1.9767441860465116,0.7529411764705882,2.7209302325581395,0,Night
434,1.7885462555066078,0.6699507389162561,2.3876651982378854,0,Night
435,1.0,0.8,1.4,0,Night
436,2.106060606060606,0.5107913669064749,2.6439393939393936,0,Night
437,2.5611510791366907,0.7471910112359551,3.5179856115107917,1,Night
438,1.9877551020408164,0.7330595482546202,2.7163265306122453,0,Night
439,1.2745098039215685,0.8153846153846154,1.7941176470588232,0,Night
441,3.250814332247557,0.6232464929859719,4.26384364820847,1,Night
442,2.134453781512605,0.7204724409448819,2.903361344537815,0,Night
443,1.5029940119760479,0.896414342629482,2.1766467065868262,0,Night
444,1.710382513661202,0.6006389776357828,2.2240437158469946,0,Night
445,1.6390243902439023,0.7916666666666666,2.2878048780487803,0,Night
446,2.3773584905660377,0.7746031746031746,3.2981132075471695,0,Night
447,1.8681818181818182,0.7445255474452555,2.563636363636364,0,Night
451,2.007843137254902,0.6875,2.6980392156862747,0,Night
452,1.5828220858895705,0.7248062015503876,2.156441717791411,0,Night
511,5.996923076923077,0.8070805541303232,8.416923076923077,1,Night
512,6.213213213213213,0.4064765587240213,7.475975975975976,1,Night
514,2.41025641025641,0.5911854103343465,3.1227106227106223,0,Night
515,1.911214953271028,0.7750611246943765,2.6518691588785046,0,Night
516,1.8295964125560538,0.6617647058823529,2.434977578475336,0,Night
517,2.2830882352941178,0.7359098228663447,3.1231617647058827,0,Night
