scenario,total_demand,total_coverage,coverage_ratio,total_shortfall,peak_shortfall,hotspot_shortfall,avg_units_per_shift
risk_aware_1.5,1465.1000054707217,944.5404333760158,0.6446934883960665,520.5595720947059,0.0,0.0,50.0
risk_aware_2.0,1465.1000054707217,943.9324067694204,0.6442784814993872,521.1675987013014,0.0,0.0,50.0
status_quo,1465.1000054707217,941.3342794618816,0.6425051368144937,523.76572600884,0.0,0.0,50.0
hotspot_protect_top5_min2,1465.1000054707217,850.6023695095614,0.580576319932694,614.4976359611603,0.0,0.0,50.0
