BEAT,AVG_CALLS,HIGH_RISK_RATIO,SHIFT,SCENARIO,SCENARIO_DEMAND,UNITS,IS_HOTSPOT,SHIFT_HOURS,CAPACITY,COVERAGE,SHORTFALL
444,1.6988636363636365,0.5852842809364549,Night,status_quo,1.6988636363636365,0,0,8.0,0.0,0.0,1.6988636363636365
445,1.615,0.7832817337461301,Night,status_quo,1.615,0,0,8.0,0.0,0.0,1.615
446,2.3115384615384613,0.7637271214642263,Night,status_quo,2.3115384615384613,0,0,8.0,0.0,0.0,2.3115384615384613
447,1.841860465116279,0.7373737373737373,Night,status_quo,1.841860465116279,0,0,8.0,0.0,0.0,1.841860465116279
451,1.9637096774193548,0.6796714579055442,Night,status_quo,1.9637096774193548,0,0,8.0,0.0,0.0,1.9637096774193548
452,1.55625,0.714859437751004,Night,status_quo,1.55625,0,0,8.0,0.0,0.0,1.55625
511,5.910769230769231,0.8047891723060906,Night,status_quo,5.910769230769231,1,0,8.0,24.0,5.910769230769231,0.0
512,6.159638554216867,0.4004889975550122,Night,status_quo,6.159638554216867,1,1,8.0,24.0,6.159638554216867,0.0
514,2.386617100371747,0.5872274143302181,Night,status_quo,2.386617100371747,0,0,8.0,0.0,0.0,2.386617100371747
515,1.889952153110048,0.769620253164557,Night,status_quo,1.889952153110048,0,0,8.0,0.0,0.0,1.889952153110048
516,1.7972972972972974,0.6641604010025063,Night,status_quo,1.7972972972972974,0,0,8.0,0.0,0.0,1.7972972972972974
517,2.236162361623616,0.7293729372937293,Night,status_quo,2.236162361623616,0,0,8.0,0.0,0.0,2.236162361623616
518,1.3706293706293706,0.6581632653061225,Night,status_quo,1.3706293706293706,0,0,8.0,0.0,0.0,1.3706293706293706
521,18.197014925373136,0.593503937007874,Night,status_quo,18.197014925373136,3,1,8.0,72.0,18.197014925373136,0.0
522,2.8106312292358804,0.6323877068557919,Night,status_quo,2.8106312292358804,1,0,8.0,24.0,2.8106312292358804,0.0
523,9.73065015479876,0.8469615017499205,Night,status_quo,9.73065015479876,2,0,8.0,48.0,9.73065015479876,0.0
524,11.760479041916168,0.6484215885947047,Night,status_quo,11.760479041916168,2,1,8.0,48.0,11.760479041916168,0.0
525,1.652941176470588,0.8220640569395018,Night,status_quo,1.652941176470588,0,0,8.0,0.0,0.0,1.652941176470588
526,2.591695501730104,0.8130841121495327,Night,status_quo,2.591695501730104,1,0,8.0,24.0,2.591695501730104,0.0
527,1.6032608695652173,0.8440677966101695,Night,status_quo,1.6032608695652173,0,0,8.0,0.0,0.0,1.6032608695652173
528,2.291970802919708,0.6162420382165605,Night,status_quo,2.291970802919708,0,0,8.0,0.0,0.0,2.291970802919708
529,2.809688581314879,0.7364532019704434,Night,status_quo,2.809688581314879,1,0,8.0,24.0,2.809688581314879,0.0
531,2.6543624161073827,0.4993678887484197,Night,status_quo,2.6543624161073827,1,0,8.0,24.0,2.6543624161073827,0.0
541,1.986842105263158,0.7969094922737306,Night,status_quo,1.986842105263158,0,0,8.0,0.0,0.0,1.986842105263158
